Site TA,Site & transect,Transect Point (m),Date,Time,Total Cover (%),Algae (% cover),Sessile Invertebrates (% Cover),Algae (Count),Sessile invertebrates (Count),Mobile Invertebrates (Count),All Invertebrates (Count),Comments,SUM WORM,SUM MUSSEL,SUM BARNACLE,SUM ULVA SPP,SUM SUGAR KELP,SUM FLIES,SUM SNAIL GEN,SUM OYSTER,SUM LIMPET,SUM FLEA,SUM ISOPOD GEN,SUM CRAB GEN,SUM LITTORINA SNAIL,SUM RED/BROWN ALGAE,SUM ANTHROPOD,SUM AMPHIPOD,SUM SOWBUG,SUM SHORE CRAB,SUM RED ALGAE,SUM BROWN ALGAE,SUM SEA CAULIFLOWER,SUM SHRIMP,SUM INVERTEBRATE,SUM WIREWEED,SUM GREEN ALGAE,SUM ROCKWEED,SUM CLAM,SUM INSECT,SUM TURKISH WASHCLOTH,SUM BARREL SHELLS,SUM HERMIT CRAB
6,TA-6-1,5,2019-03-06,11:38:00,60,60,1,3,1,0,1,Barnacles,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-1,16,2019-03-06,12:00:00,90,90,1,1,0,1,1,Snail ,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-2,6,2019-03-06,N/A,40,40,0,4,0,1,1,Midge,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-2,1,2019-03-06,11:24:00,100,100,0,4,0,2,2,"Midge, amphipod ",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-6,11,2019-03-06,12:43:00,90,90,1,2,1,0,1,Barnacles,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-6,20,2019-03-06,12:47:00,90,90,1,3,1,0,1,Mussels ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-7,5,2019-03-06,12:42:00,35,30,10,3,2,0,2,Barnacles,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-7,10,2019-03-06,12:47:00,100,40,15,1,2,3,4,"Mussels, barnacles, littorine snails, crabs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-1,6,2019-04-06,12:26:00,60,40,20,3,2,1,3,"Aquatic worm, barnacles, mussels ",1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-1,29,2019-04-06,12:42:00,5,5,0,3,0,0,0,,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-2,10,2019-04-06,12:40:00,70,70,0,2,0,0,0,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-2,23,2019-04-06,13:02:00,15,1,15,2,2,1,3,"Mussels, barnacles, limpets",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-3,12,2019-04-06,13:02:00,95,85,10,2,2,1,3,"Mussels, limpets, barnacles ",1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-3,24,2019-04-06,13:40:00,60,50,10,2,2,2,4,"Snails, mussels, barnacles, limpets",1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-8,8,2019-04-06,13:30:00,30,30,0,3,0,0,0,,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-8,25,2019-04-06,13:54:00,30,1,29,1,2,0,2,"Mussel, barnacle",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-2,2,2019-05-16,10:08:00,25,5,20,4,2,3,5,"Mussel, barnacle, worm, snail, limpet",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-2,5,2019-05-16,10:23:00,10,1,10,1,2,2,4,"Mussel, barnacle, snail, limpet ",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-4,18,2019-05-16,11:40:00,10,5,10,3,2,3,5,"Mussel, barnacle, snail, limpet, crab",0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-4,20,2019-05-16,11:45:00,15,10,5,3,2,3,5,"Mussel, barnacle, snail, limpet",0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-5,4,2019-05-21,13:15:00,20,5,15,2,2,1,3,"Mussel, barnacle, snail",0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-5,22,2019-05-21,13:55:00,60,50,10,1,N/A,N/A,3,N/A,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-7,2,2019-05-21,14:42:00,25,5,20,2,2,2,4,"Mussel, barnacle, snail, limpet",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TA-3-7,29,2019-05-21,15:30:00,0,0,0,0,0,0,0,N/A,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-1,4,2019-05-22,13:30:00,99,80,19,3,2,5,7,"Sowbug, fly, barnacle, mussel, isopod, limpet, worm. Invertebrate cover determined by moving algae",0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-1,4,2019-05-22,13:40:00,99,75,24,3,2,5,7,"Isopod, worm, barnacle, sowbug, mussel, crab, limpet",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-2,3,2019-05-22,15:04:00,95,35,60,4,1,3,4,"Barnacle, caprellid, limpet, snail",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-2,20,2019-05-22,15:28:00,10,1,9,1,1,0,1,Barnacle,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-4,7,2019-05-22,13:17:00,30,20,10,3,2,3,5,"Barnacle, mussel, limpet, worm, fly",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-4,25,2019-05-22,13:54:00,5,2,3,2,2,4,6,"Barnacle, mussel, limpet, worm, snail, anthropod",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-7,11,2019-05-22,15:05:00,30,20,10,3,2,3,5,"Barnacle, mussel, limpet, isopod, amphipod ",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-7,17,2019-05-22,15:13:00,20,19,1,3,1,2,3,"Barnacle, limpet, isopod ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-1,22,2019-05-30,09:34:00,60,10,50,2,2,2,4,"Mussel, barnacle, snail, limpet",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-1,23,2019-05-30,09:47:00,45,5,40,1,2,1,3,"Mussel, barnacle, snail",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-2,17,2019-05-30,09:36:00,30,25,5,3,2,5,7,"Mussel, barnacle, snail, limpet, stripped snail, crab, termite ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-2,23,2019-05-30,10:05:00,50,20,30,2,2,3,5,"Mussel, barnacle, snail, limpet, midge fly",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-6,17,2019-05-30,11:44:00,2,1,2,1,2,3,5,"Barnacles, snail, limpet, mussels, midge ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-6,25,2019-05-30,11:44:00,5,3,2,3,2,3,5,"Amphipod, snails (striped and regular), barnacles, mussels, limpet",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-8,6,2019-05-30,11:00:00,20,5,18,1,2,2,4,"Barnacles, mussels, snails, limpet",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-8,18,2019-05-30,11:00:00,5,3,2,3,2,3,5,"Barnacles, mussels, snails, limpet, crab",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-3,5,2019-05-31,11:00:00,10,5,10,1,2,3,5,"Barnacles, snail, mussels, limpet, fly ",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-3,18,2019-05-31,11:05:00,70,30,60,1,2,1,3,"Barnacles, snails, mussels ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-5,14,2019-05-31,10:40:00,60,40,20,3,2,1,3,"Mussels, barnacles, limpets",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-5,24,2019-05-31,11:07:00,40,25,30,2,2,4,6,"Shore crab, isopod, mussels, barnacles, limpet, snails ",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-7,13,2019-05-31,10:10:00,80,50,40,4,2,2,4,"Limpets, flies, barnacles, mussels ",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-7,23,2019-05-31,10:16:00,20,20,5,2,1,2,3,"Barnacles, flies",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-8,2,2019-05-31,09:20:00,100,100,1,2,1,1,2,"Barnacles, flies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-8,29,2019-05-31,10:26:00,90,90,5,4,1,0,1,Barnacles ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-1,9,2020-05-26,13:55:00,98,25,98,2,2,1,3,"Sea lettuce, brown about 1cm long, barnacles, mussels, limpets",0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-1,27,2020-05-26,13:23:00,50,50,0,2,0,0,0,"Sea lettuce, brown algae fluffy invasive?",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-5,1,2020-05-26,14:34:00,65,5,60,3,,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-5,11,2020-05-26,14:28:00,40,30,10,4,2,2,4,"Barnacles, littorina, limpets, mussels",0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-3,14,2020-05-26,14:47:00,0,0,0,1,0,0,0,just sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-3,1,2020-05-26,14:40:00,40,20,20,1,1,0,1,"Sea lettuce, barnacles",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-6,21,2020-05-26,12:59:00,5,1,4,3,,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TA-1-6,30,2020-05-26,13:06:00,15,15,0,3,0,1,1,Tiny fly,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-3,7,2020-05-27,13:45:00,45,25,40,1,2,3,5,"Rockweed, mussels, limpets, barnacles, littorine snail, rockweed isopod",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2,TA-2-3,5,2020-05-27,13:57:00,70,15,70,3,2,1,3,"Filament ulva, leafy ulva, brown algae, mussels, barnacles, small insect",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,TA-2-4,10,2020-05-27,15:48:00,80,20,80,1,2,1,3,"sea lettuce, barnacles, mussels, limpects",0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-4,11,2020-05-27,15:48:00,60,1,60,2,2,1,3,"sea lettuce, rockweed, barnacles, mussels, limpets",0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2,TA-2-7,12,2020-05-27,14:37:00,70,65,1,4,0,1,1,"2 ulva ssp, red alga, brown alga, littorina snail",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-7,25,2020-05-27,14:40:00,95,75,20,3,2,0,2,"1 ulva ssp, 2 brown algae, mussels, barnacles",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,TA-2-5,28,2020-05-27,13:44:00,95,80,15,3,2,0,2,"brown algae, sea lettuce, rockweed, barnacles, mussels",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2,TA-2-5,29,2020-05-27,13:36:00,95,20,75,2,2,2,4,"brown algae, sea lettuce, mussels, barnacles, tiny crab, conical snail",0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-1,12,2020-06-03,08:41:00,1,1,1,2,2,3,5,"sea lettuce, brown algae, mask limpet, barnacle, pacific blue mussel, littorine snails, green shore crab (lots of baby crabs)",0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-3,6,2020-06-03,10:37:00,80,60,20,3,2,3,5,"midges, mussels, barnacles, littorina, limpet",0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-1,7,2020-06-03,09:30:00,100,100,20,2,2,,4,"flies, mussels, barnacles, sea lettuce, brown algae",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-3,9,2020-06-03,10:39:00,95,95,5,2,1,1,2,"Brown algae, ulva, small fly, mussels",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-5,16,2020-06-03,08:48:00,75,70,5,2,2,3,5,"Barnacles, mussels, midges, limpet, littorina",0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-5,12,2020-06-03,08:44:00,95,95,0,2,0,0,0,2 brown algae. In tide pool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,TA-6-6,26,2020-06-03,09:33:00,1,1,0,2,0,0,0,"ulva, rockweed, barel shells",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
6,TA-6-6,16,2020-06-03,09:36:00,100,95,5,2,1,2,3,"brown, ulva, mussels, small flies, littorina",0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-1,26,2020-06-04,09:35:00,40,25,20,3,2,3,5,"rockweed, barnacles, limpet, mussels, gut weed, sea moss, littorina, scud",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-1,17,2020-06-04,09:47:00,95,1,95,2,2,2,4,"mussels, rockweed, sea moss, barnacles, limpets, midges",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-2,16,2020-06-04,12:10:00,99,50,99,2,2,2,4,"barnacles, mussels, midges, limpets, sea lettuce, rockweed",0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TA-4-2,4,2020-06-04,11:38:00,95,90,75,2,2,2,4,"mussels, midges, limpets, barnacles, sea lettuce, turkish washcloth",1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-1,4,2020-06-09,13:01:00,90,40,80,3,2,2,4,"barnacles, mussels, limpet, white worms",0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-1,18,2020-06-09,13:05:00,20,15,10,3,2,1,3,"barnacles, mussels, littorina",0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,TA-5-2,16,2020-06-09,14:17:00,10,1,10,2,2,2,4,"mussels, barnacles, limpets, littorina",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-2,7,2020-06-09,14:21:00,40,40,5,1,2,3,5,"nermatean worm, barnacles, mussels, limpet, midge fly",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TA-5-3,30,2020-06-09,12:52:00,35,0,35,0,2,2,3,"limpetts, mussels, barnacles, midge fly",0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
5,TA-5-3,9,2020-06-09,14:09:00,50,50,25,3,2,4,6,"turkish washcloth, sea lettuce, brown algae, limpet, mussels, snails, rockweed isopod, scud, barnacle",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
5,TA-5-8,20,2020-06-09,15:36:00,80,80,1,3,2,2,4,"barnacles, green worm, white worm, mussels",0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5,TA-5-8,22,2020-06-09,15:40:00,35,30,10,2,2,0,2,"mussels, barnacles",0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
