Site TA,Site & transect,Transect Point (m),Date,Time,Total Cover (%),Algae,Sessile Invertebrates,Algae,Sessile invertebrates,Mobile Invertebrates,All Invertebrates,Comments
3,TA-3-2,2, 2019-05-16,10:08:00 AM,25,5,20,4,2,3,5,"Mussel, barnacle, worm, snail, limpet"
3,TA-3-2,5, 2019-05-16,10:23:00 AM,10,1,10,1,2,2,4,"Mussel, barnacle, snail, limpet "
3,TA-3-4,18, 2019-05-16,11:40:00 AM,10,5,10,3,2,3,5,"Mussel, barnacle, snail, limpet, crab"
3,TA-3-4,20, 2019-05-16,11:45:00 AM,15,10,5,3,2,3,5,"Mussel, barnacle, snail, limpet"
3,TA-3-5,4, 2019-05-21,1:15:00 PM,20,5,15,2,2,1,3,"Mussel, barnacle, snail"
3,TA-3-5,22, 2019-05-21,1:55:00 PM,60,50,10,1,,,3,N/A
3,TA-3-7,2, 2019-05-21,2:42:00 PM,25,5,20,2,2,2,4,"Mussel, barnacle, snail, limpet"
3,TA-3-7,29, 2019-05-21,3:30:00 PM,0,0,0,0,0,0,0,N/A
5,TA-5-1,4, 2019-05-22,1:30:00 PM,99,80,19,3,2,5,7,"Sowbug, fly, barnacle, mussel, isopod, limpet, worm. Invertebrate cover determined by moving algae"
5,TA-5-1,4, 2019-05-22,1:40:00 PM,99,75,24,3,2,5,7,"Isopod, worm, barnacle, sowbug, mussel, crab, limpet"
5,TA-5-2,3, 2019-05-22,3:04:00 PM,95,35,60,4,1,3,4,"Barnacle, caprellid, limpet, snail"
5,TA-5-2,20, 2019-05-22,3:28:00 PM,10,1,9,1,1,0,1,Barnacle
5,TA-5-4,7, 2019-05-22,1:17:00 PM,30,20,10,3,2,3,5,"Barnacle, mussel, limpet, worm, fly"
5,TA-5-4,25, 2019-05-22,1:54:00 PM,5,2,3,2,2,4,6,"Barnacle, mussel, limpet, worm, snail, anthropod"
5,TA-5-7,11, 2019-05-22,3:05:00 PM,30,20,10,3,2,3,5,"Barnacle, mussel, limpet, isopod, amphipod "
5,TA-5-7,17, 2019-05-22,3:13:00 PM,20,19,1,3,1,2,3,"Barnacle, limpet, isopod "
1,TA-1-1,22, 2019-05-30,9:34:00 AM,60,10,50,2,2,2,4,"Mussel, barnacle, snail, limpet"
1,TA-1-1,23, 2019-05-30,9:47:00 AM,45,5,40,1,2,1,3,"Mussel, barnacle, snail"
1,TA-1-2,17, 2019-05-30,9:36:00 AM,30,25,5,3,2,5,7,"Mussel, barnacle, snail, limpet, stripped snail, crab, termite "
1,TA-1-2,23, 2019-05-30,10:05:00 AM,50,20,30,2,2,3,5,"Mussel, barnacle, snail, limpet, midge fly"
1,TA-1-6,17, 2019-05-30,11:44:00 AM,2,1,2,1,2,3,5,"Barnacles, snail, limpet, mussels, midge "
1,TA-1-6,25, 2019-05-30,11:44:00 AM,5,3,2,3,2,3,5,"Amphipod, snails (striped and regular), barnacles, mussels, limpet"
1,TA-1-8,6, 2019-05-30,11:00:00 AM,20,5,18,1,2,2,4,"Barnacles, mussels, snails, limpet"
1,TA-1-8,18, 2019-05-30,11:00:00 AM,5,3,2,3,2,3,5,"Barnacles, mussels, snails, limpet, crab"
2,TA-2-3,5, 2019-05-31,11:00:00 AM,10,5,10,1,2,3,5,"Barnacles, snail, mussels, limpet, fly "
2,TA-2-3,18, 2019-05-31,11:05:00 AM,70,30,60,1,2,1,3,"Barnacles, snails, mussels "
2,TA-2-5,14, 2019-05-31,10:40:00 AM,60,40,20,3,2,1,3,"Mussels, barnacles, limpets"
2,TA-2-5,24, 2019-05-31,11:07:00 AM,40,25,30,2,2,4,6,"Shore crab, isopod, mussels, barnacles, limpet, snails "
2,TA-2-7,13, 2019-05-31,10:10:00 AM,80,50,40,4,2,2,4,"Limpets, flies, barnacles, mussels "
2,TA-2-7,23, 2019-05-31,10:16:00 AM,20,20,5,2,1,2,3,"Barnacles, flies"
2,TA-2-8,2, 2019-05-31,9:20:00 AM,100,100,1,2,1,1,2,"Barnacles, flies"
2,TA-2-8,29, 2019-05-31,10:26:00 AM,90,90,5,4,1,0,1,Barnacles 
6,TA-6-1,5,2019-03-06,11:38:00 AM,60,60,1,3,1,0,1,Barnacles
6,TA-6-1,16,2019-03-06,12:00:00 PM,90,90,1,1,0,1,1,Snail 
6,TA-6-2,6,2019-03-06,N/A,40,40,0,4,0,1,1,Midge
6,TA-6-2,1,2019-03-06,11:24:00 AM,100,100,0,4,0,2,2,"Midge, amphipod "
6,TA-6-6,11,2019-03-06,12:43:00 PM,90,90,1,2,1,0,1,Barnacles
6,TA-6-6,20,2019-03-06,12:47:00 PM,90,90,1,3,1,0,1,Mussels 
6,TA-6-7,5,2019-03-06,12:42:00 PM,35,30,10,3,2,0,2,Barnacles
6,TA-6-7,10,2019-03-06,12:47:00 PM,100,40,15,1,2,3,4,"Mussels, barnacles, littorine snails, crabs"
4,TA-4-1,6,2019-04-06,12:26:00 PM,60,40,20,3,2,1,3,"Aquatic worm, barnacles, mussels "
4,TA-4-1,29,2019-04-06,12:42:00 PM,5,5,0,3,0,0,0,
4,TA-4-2,10,2019-04-06,12:40:00 PM,70,70,0,2,0,0,0,
4,TA-4-2,23,2019-04-06,1:02:00 PM,15,1,15,2,2,1,3,"Mussels, barnacles, limpets"
4,TA-4-3,12,2019-04-06,1:02:00 PM,95,85,10,2,2,1,3,"Mussels, limpets, barnacles "
4,TA-4-3,24,2019-04-06,1:40:00 PM,60,50,10,2,2,2,4,"Snails, mussels, barnacles, limpets"
4,TA-4-8,8,2019-04-06,1:30:00 PM,30,30,0,3,0,0,0,
4,TA-4-8,25,2019-04-06,1:54:00 PM,30,1,29,1,2,0,2,"Mussel, barnacle"
1,TA-1-1,9,2020-05-26,1:55:00 PM,98,25,98,2,2,1,3,"Sea lettuce, brown about 1cm long, barnacles, mussels, limpets"
1,TA-1-1,27,2020-05-26,1:23:00 PM,50,50,0,2,0,0,0,"Sea lettuce, brown algae fluffy invasive?"
1,TA-1-5,1,2020-05-26,2:34:00 PM,65,5,60,3,,,3,
1,TA-1-5,11,2020-05-26,2:28:00 PM,40,30,10,4,2,2,4,"Barnacles, littorina, limpets, mussels"
1,TA-1-3,14,2020-05-26,2:47:00 PM,0,0,0,1,0,0,0,just sand
1,TA-1-3,1,2020-05-26,2:40:00 PM,40,20,20,1,1,0,1,"Sea lettuce, barnacles"
1,TA-1-6,21,2020-05-26,12:59:00 PM,5,1,4,3,,,3,
1,TA-1-6,30,2020-05-26,1:06:00 PM,15,15,0,3,0,1,1,Tiny fly
2,TA-2-3,7,2020-05-27,1:45:00 PM,45,25,40,1,2,3,5,"Rockweed, mussels, limpets, barnacles, littorine snail, rockweed isopod"
2,TA-2-3,5,2020-05-27,1:57:00 PM,70,15,70,3,2,1,3,"Filament ulva, leafy ulva, brown algae, mussels, barnacles, small insect"
2,TA-2-4,10,2020-05-27,3:48:00 PM,80,20,80,1,2,1,3,"sea lettuce, barnacles, mussels, limpects"
2,TA-2-4,11,2020-05-27,3:48:00 PM,60,1,60,2,2,1,3,"sea lettuce, rockweed, barnacles, mussels, limpets"
2,TA-2-7,12,2020-05-27,2:37:00 PM,70,65,1,4,0,1,1,"2 ulva ssp, red alga, brown alga, littorina snail"
2,TA-2-7,25,2020-05-27,2:40:00 PM,95,75,20,3,2,0,2,"1 ulva ssp, 2 brown algae, mussels, barnacles"
2,TA-2-5,28,2020-05-27,1:44:00 PM,95,80,15,3,2,0,2,"brown algae, sea lettuce, rockweed, barnacles, mussels"
2,TA-2-5,29,2020-05-27,1:36:00 PM,95,20,75,2,2,2,4,"brown algae, sea lettuce, mussels, barnacles, tiny crab, conical snail"
6,TA-6-1,12,2020-06-03,8:41:00 AM,1,1,1,2,2,3,5,"sea lettuce, brown algae, mask limpet, barnacle, pacific blue mussel, littorine snails, green shore crab (lots of baby crabs)"
6,TA-6-3,6,2020-06-03,10:37:00 AM,80,60,20,3,2,3,5,"midges, mussels, barnacles, littorina, limpet"
6,TA-6-1,7,2020-06-03,9:30:00 AM,100,100,20,2,2,,4,"flies, mussels, barnacles, sea lettuce, brown algae"
6,TA-6-3,9,2020-06-03,10:39:00 AM,95,95,5,2,1,1,2,"Brown algae, ulva, small fly, mussels"
6,TA-6-5,16,2020-06-03,8:48:00 AM,75,70,5,2,2,3,5,"Barnacles, mussels, midges, limpet, littorina"
6,TA-6-5,12,2020-06-03,8:44:00 AM,95,95,0,2,0,0,0,2 brown algae. In tide pool
6,TA-6-6,26,2020-06-03,9:33:00 AM,1,1,0,2,0,0,0,"ulva, rockweed, barel shells"
6,TA-6-6,16,2020-06-03,9:36:00 AM,100,95,5,2,1,2,3,"brown, ulva, mussels, small flies, littorina"
5,TA-5-1,4,2020-06-09,1:01:00 PM,90,40,80,3,2,2,4,"barnacles, mussels, limpet, white worms"
5,TA-5-1,18,2020-06-09,1:05:00 PM,20,15,10,3,2,1,3,"barnacles, mussels, littorina"
5,TA-5-2,16,2020-06-09,2:17:00 PM,10,1,10,2,2,2,4,"mussels, barnacles, limpets, littorina"
5,TA-5-2,7,2020-06-09,2:21:00 PM,40,40,5,1,2,3,5,"nermatean worm, barnacles, mussels, limpet, midge fly"
5,TA-5-3,30,2020-06-09,12:52:00 PM,35,0,35,0,2,2,3,"limpetts, mussels, barnacles, midge fly"
5,TA-5-3,9,2020-06-09,2:09:00 PM,50,50,25,3,2,4,6,"turkish washcloth, sea lettuce, brown algae, limpet, mussels, snails, rockweed isopod, scud, barnacle"
5,TA-5-8,20,2020-06-09,3:36:00 PM,80,80,1,3,2,2,4,"barnacles, green worm, white worm, mussels"
5,TA-5-8,22,2020-06-09,3:40:00 PM,35,30,10,2,2,0,2,"mussels, barnacles"
4,TA-4-1,26,2020-06-04,9:35:00 AM,40,25,20,3,2,3,5,"rockweed, barnacles, limpet, mussels, gut weed, sea moss, littorina, scud"
4,TA-4-1,17,2020-06-04,9:47:00 AM,95,1,95,2,2,2,4,"mussels, rockweed, sea moss, barnacles, limpets, midges"
4,TA-4-2,16,2020-06-04,12:10:00 PM,99,50,99,2,2,2,4,"barnacles, mussels, midges, limpets, sea lettuce, rockweed"
4,TA-4-2,4,2020-06-04,11:38:00 AM,95,90,75,2,2,2,4,"mussels, midges, limpets, barnacles, sea lettuce, turkish washcloth"
4,TA-4-3,6,2020-06-18,8:54:00 AM,95,90,20,3,2,3,5,"mussels, barnacles, limpets, 2 ssp. Midges"
4,TA-4-3,21,2020-06-18,9:17:00 AM,90,50,40,3,2,2,4,"mussels, barnacles, littorine snail, small midge"
4,TA-4-8,1,2020-06-18,10:06:00 AM,45,45,15,4,1,3,4,"gutweed, rockweed, sea lettuce, barnacles, midges, sea moss, snails, rock isopod"
4,TA-4-8,5,2020-06-18,9:59:00 AM,80,80,50,4,2,2,4,"blue mussels, brown algae, gutweed, rockweed, barnacles, sea lettuce, midges, limpets"
3,TA-3-7,5,2020-06-10,3:25:00 PM,35,10,30,2,2,2,3,"sea lettuce, barnacles, turkish washcloth, limpets, littorine snails"
3,TA-3-7,16,2020-06-10,3:29:00 PM,100,60,40,2,2,2,4,"on top of a large rock. mussels, sea lettuce, brown algae, barnacles, littrine snails, limpets"
3,TA-3-5,8,2020-06-10,2:15:00 PM,98,50,50,3,2,3,5,"rockweed, brown algae, sea lettuce, mussels, barnacles, littorine snail, limpet, green shore crab"
3,TA-3-5,17,2020-06-10,2:29:00 PM,97,25,80,2,2,4,6,"brown algae, turkish washcloth, barnacles, mussels, limpets, littorina snail, p. littleneck clam, green shore crab"
3,TA-3-4,6,2020-06-10,2:57:00 PM,30,1,30,2,1,0,1,barnacles
3,TA-3-4,21,2020-06-10,2:53:00 PM,95,30,80,2,2,2,4,"mussels, barnacles, limpets, littorina"
3,TA-3-2,3,2020-06-10,1:40:00 PM,95,30,95,3,2,2,4,"brown, rockweed, ulva, mussels, acorn barnacles, laval worm, littorina"
3,TA-3-2,4,2020-06-10,1:45:00 PM,95,40,90,4,2,2,4,"red coralline, fusca, ulva, brown, limpets, larval worm, acorn barnacles, mussels"
3,TA-3-3,7,2021-06-04,8:29:00 AM,45,35,9,1,3,1,4,"Rockweed, barnacles, limpets, mussels, littorine snail"
3,TA-3-3,19,2021-06-04,9:48:00 AM,10,10,0,1,0,0,0,Algae was sea lettuce
3,TA-3-5,8,2021-06-04,10:47:00 AM,50,15,34,3,2,1,3,"Rockweed, sea lettuce, filamentuous red seaweed, mussels, barnacles, 1 littorine"
3,TA-3-5,6,2021-06-04,10:43:00 AM,90,40,49,2,3,1,4,"Rockweed, filamentuous red sea weed, mussels, barnacles, littorine snail"
3,TA-3-7,1,2021-06-04,9:55:00 AM,95,55,40,3,2,2,4,"sea lettuce, rockweed, limpet, checkered perriwinkle, acorn barnacle, blue mussel"
3,TA-3-7,3,2021-06-04,10:31:00 AM,97,44,53,5,2,3,5,"filamentuous red sea weed, sea lettuce, rock weed, checkered perriwinkle, limpet (two types), grape tongue seaweed"
3,TA-3-6,6,2021-06-04,9:16:00 AM,95,5,90,3,2,2,4,"Sea lettuce, saccarina family,brown mussels, 1 larger periwinckle, limpets, acorn barnacles, pacific blue mussel, checkered periwinkle"
3,TA-3-6,8,2021-06-04,9:27:00 AM,65,10,55,3,2,2,4,"rockweed, mask limpet, acorn barnacle, pacific blue mussel, checkered perriwinkle"
1,TA-1-6,4,27/5/2021,1:57:00 PM,90,40,50,3,2,1,3,"barnacles, mussels, limpets"
1,TA-1-6,11,27/5/2021,2:02:00 PM,95,5,90,2,2,0,2,"barnacles, mussels"
1,TA-1-5,8,27/5/2021,1:05:00 PM,90,45,45,3,2,0,2,"barnacles, mussels; photo taken at 1:24"
1,TA-1-5,17,27/5/2021,1:26:00 PM,75,40,35,4,2,0,2,
1,TA-1-3,3,25/5/2021,11:52:00 AM,95,90,5,2,1,1,2,"mussels, sea lettuce, brown algea, small fruit flies "
1,TA-1-3,26,25/5/2021,12:30:00 PM,80,5,75,2,1,1,2,"limpits, mussels, fruit flies"
4,TA-4-1,24,25/5/2021,11:27:00 AM,60,10,50,3,2,1,3,"Mussels, barnacles, midge, 3 types of algae"
4,TA-4-1,1,25/5/2021,10:56:00 AM,90,80,10,4,2,1,2,"mussels, barnacles, midge "
4,TA-4-4,6,25/5/2021,12:28:00 PM,100,95,5,3,1,1,2,"mussels, littorine snail"
4,TA-4-4,21,25/5/2021,12:19:00 PM,60,20,40,4,2,1,3,"mussels, barnacles, littorine snail"
4,TA-4-7,24,25/5/2021,12:00:00 PM,80,32,48,1,2,1,3,"mussels, barnacles, littorine snail; corrected percent cover values"
4,TA-4-7,27,25/5/2021,12:05:00 PM,70,30,40,1,2,1,3,"rockweed, mussels, barnacles, littorine snail"
2,TA-2-2,6,2021-08-06,12:18:00 PM,100,90,10,4,3,1,4,"rockweed, sea lettuce, red/brown algae, giant acorn barnacle, common acorn barnacle, pacific blue mussel, ulva lactuca, green shore crab"
2,TA-2-2,18,2021-08-06,1:08:00 PM,85,55,30,1,2,2,4,"rockweed, common acorn barnacle, pacific blue mussel"
2,TA-2-1,4,2021-08-06,11:17:00 AM,65,45,20,3,1,0,1,"sea lettuce, red brown algae, rockweed, pacific blue mussels"
2,TA-2-1,22,2021-08-06,11:59:00 AM,66,33,33,1,2,4,6,"mask limpet, red mite, 1 green shore crab, rockweed, commmon acorn barnacles, pacific blkue mussel, limpets, checkered periwinkle"
2,TA-2-4,16,2021-08-06,11:24:00 AM,97,57,40,2,2,1,3,"rockweed, sea lettuce, barnacles, acorn blue mussel, littorine snail "
2,TA-2-4,25,2021-08-06,12:00:00 PM,98,83,15,2,2,2,4,"rockweed, sea lettuce, green shore crab, hermit crab"
2,TA-2-7,15,2021-08-06,12:10:00 PM,100,90,10,2,2,1,3,"rockweed, sea lettuce, blue mussel, acorn barnacle, 2 small fruit fly tyoe bugs"
2,TA-2-7,20,2021-08-06,12:54:00 PM,90,75,15,2,2,1,3,"rockweed, sea lettuce, blue mussel, acorn barnacle, small fruit fly type bug"
