Site_TA,Site_transect,Transect_Point_M,Quadrat_Number_Q,Photo_ID,Date,Surveyors,Start_Time,End_Time,Total_Cover,Algae_Cover,Invertebrates_Cover,Algae_Count,Algae_ID,Algae_BAR,Algae_GAC,Algae_GAM,Algae_RAS,Algae_GAU,Algae_RAF,Algae_BASC,Algae_BAE,Algae_RAI,Algae_BAW,Algae_RATT,Algae_RAP,Sessile_Invertebrates_Count_Above,Sessile_Above_ID,Sessile_Above_BVM,Sessile_Above_Barnacle,Sessile_Above_BA,Sessile_Above_BT,Sessile_Above_BVL,Sessile_Above_LI,Sessile_Above_BCO,Sessile_Above_BVV,Sessile_Invertebrates_Count_Below,Sessile_Below_ID,Sessile_Below_LI,Sessile_Below_BVM,Sessile_Below_BA,Sessile_Below_AA,Sessile_Below_BT,Sessile_Below_BCO,Mobile_Invertebrates_Count_Above,Mobile_Above_ID,Mobile_Above_WM,Mobile_Above_SL,Mobile_Above_shrimp,Mobile_Above_seastar,Mobile_Above_CRH,Mobile_Above_CRI,Mobile_Above_CRP,Mobile_Above_Fly,Mobile_Invertebrates_Count_Below,Mobile_Below_ID,Mobile_Below_WM,Mobile_Below_CRH,Mobile_Below_CRP,Mobile_Below_CRI,Mobile_Below_seastar,Mobile_Below_Insect,All_Invertebrates_Above_Below,Comments_Quadrat,Number_of_Rocks,Number_of_Rocks_Flipped,Rocks_Comments
1,TA-1-1,15,3,TA-1-T1-M15-Q3,2023-12-26,"M,J",22:14,22:17,90,50,50,2,"BAR,GAC",1,1,0,0,0,0,0,0,0,0,0,0,2,"BVM, barnacles",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,"WM, SL",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,4,,0,0,
1,TA-1-1,24,4,TA-1-T1-M24-Q4,2023-12-26,"M,J",22:18,22:23,60,40,60,3,"GAC, RAS, BAR",1,1,0,1,0,0,0,0,0,0,0,0,3,"BVM, barnacles, LI",1,1,0,0,0,1,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,4,,0,0,
1,TA-1-1,1,1,TA-1-T1-M1-Q1,2023-12-26,"M,J",21:59,22:05,70,20,80,4,"BAR, GAC, GAU, RAF",1,1,0,0,1,1,0,0,0,0,0,0,2,"BA,BVM",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
1,TA-1-1,10,3,TA-1-T1-M10-Q3,2023-12-26,"M,J",22:09,N/A,30,50,50,2,"BAR, GAC",1,1,0,0,0,0,0,0,0,0,0,0,2,"BA, BVM",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
1,TA-1-1,22,3,TA-1-T1-M22-Q3,2023-12-26,"A,D",22:18,22:20,60,65,35,2,"BASC, GAC",0,1,0,0,0,0,1,0,0,0,0,0,3,"BVM, BA, LI",1,0,1,0,0,1,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,"BASC(80%), GAC(20%)",0,0,
1,TA-1-1,13,1,TA-1-T1-M13-Q1,2023-12-26,"A,D",22:09,22:15,75,40,60,2,"BASC, GAC",0,1,0,0,0,0,1,0,0,0,0,0,2,"BVM, BA",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,"BASC(80%), GAC(20%)",0,0,
1,TA-1-2,7,4,TA-1-T2-M7-Q4,2023-12-26,"M,J",22:34,22:37,40,70,30,1,GAC,0,1,0,0,0,0,0,0,0,0,0,0,3,"BVM, BT, BA",1,0,1,1,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,,0,0,
1,TA-1-2,8,1,TA-1-T2-M8-Q1,2023-12-26,"M,J",22:37,22:40,30,60,40,1,GAC,0,1,0,0,0,0,0,0,0,0,0,0,2,"BT, BVM",1,0,0,1,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
1,TA-1-2,30,2,TA-1-T2-M30-Q2,2023-12-26,"M,J",22:46,22:48,20,80,20,2,"BAR, GAC",1,1,0,0,0,0,0,0,0,0,0,0,2,"BVM, barnacles",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,"OS, SL",0,1,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,4,,0,0,
1,TA-1-2,18,4,TA-1-T2-M18-Q4,2023-12-26,"M,J",22:42,22:44,90,30,70,2,"GAC, BAW",0,1,0,0,0,0,0,0,0,1,0,0,2,"BVM, barnacles",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
1,TA-1-2,14,3,TA-1-T2-M14-Q3,2023-12-26,"A,D",22:41,22:43,40,20,80,2,"RAF, GAC",0,1,0,0,0,1,0,0,0,0,0,0,2,"BVM, BT",1,0,0,1,0,0,0,0,0,N/A,0,0,0,0,0,0,1,WM,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,"RAF, GAC (75%)",0,0,
1,TA-1-2,16,2,TA-1-T2-M16-Q2,2023-12-26,"A,D",22:44,N/A,40,35,65,1,GAC,0,1,0,0,0,1,0,0,0,0,0,0,2,"BVM, BT",1,0,0,1,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
1,TA-1-3,4,3,TA-1-T3-M4-Q3,2023-12-26,"A,D",22:54,N/A,10,30,70,2,"GAC, RAF",0,1,0,0,0,1,0,0,0,0,0,0,2,"BA, BVM",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,"GAC (10%), RAF (90%)",0,0,
1,TA-1-3,3,1,TA-1-T3-M3-Q1,2023-12-26,"M, J",22:54,22:57,10,80,20,2,"GAC, RAF",0,1,0,0,0,1,0,0,0,0,0,0,1,Barnacle,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,WM,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,GAC dying,0,0,
1,TA-1-5,3,3,TA-1-T5-M3-Q3,2023-12-26,"M,J",23:17,N/A,20,10,90,1,GAC,0,1,0,0,0,0,0,0,0,0,0,0,2,"BVM, barnacles",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
1,TA-1-5,7,2,TA-1-T5-M7-Q2,2023-12-26,"M,J",23:21,N/A,80,30,70,2,"BAR, GAC",1,1,0,0,0,0,0,0,0,0,0,0,3,"Barnacle, BVM, LI",1,1,0,0,0,1,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,,0,0,
1,TA-1-5,10,2,TA-1-T5-M10-Q2,2023-12-26,"M,J",23:25,23:28,100,60,30,2,"BAR, GAC",1,1,0,0,0,0,0,0,0,0,0,0,2,"Barnacle, BVM",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,WM,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,WM was white and black,0,0,
1,TA-1-5,15,4,TA-1-T5-M15-Q4,2023-12-26,"M,J",23:29,23:32,90,80,20,1,BAR,1,0,0,0,0,0,0,0,0,0,0,0,3,"Barnacle, BVM, LI",1,1,0,0,0,1,0,0,0,N/A,0,0,0,0,0,0,2,"SL, WM",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,5,,0,0,
1,TA-1-5,19,3,TA-1-T5-M19-Q3,2023-12-26,"A,D",23:22,23:26,60,90,10,1,BASC,0,0,0,0,0,0,1,0,0,0,0,0,2,"BVM, BA",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,Damon ID on snail,0,0,
1,TA-1-5,22,2,TA-1-T5-M22-Q2,2023-12-26,"A,D",23:27,23:30,60,5,95,1,BASC,0,0,0,0,0,0,1,0,0,0,0,0,2,"BA, LI",0,0,1,0,0,1,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,Damon ID on snail,0,0,
6,TA-6-7,1,2,TA-6-T7-M1-Q2,2024-01-10,"A,J",21:34,N/A,10,90,10,3,"GAC, BAE, BASC",0,1,0,0,0,0,1,1,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,WM,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,"Mistake - did 1 rather than 15, Seawall, ",3,0,3 large rocks
6,TA-6-7,10,1,TA-6-T7-M10-Q1,2024-01-10,"A,J",21:40,N/A,40,70,30,2,"GAC, BASC",0,1,0,0,0,0,1,0,0,0,0,0,2,"BA, BVM",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,"Seawall,",3,1,"2 big rocks, 1 small"
6,TA-6-7,15,3,TA-6-T7-M15-Q3,2024-01-10,"A,J",21:44,N/A,90,90,10,1,BAR,1,0,0,0,0,0,0,0,0,0,0,0,2,"BVM, barnacle",1,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,Seawall,0,0,
6,TA-6-4,6,N/A,TA-6-T4-M6-Q,2024-01-10,"A,J",22:02,N/A,90,95,5,1,GAM,0,0,1,0,0,0,0,0,0,0,0,0,1,BA,0,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,,0,0,
6,TA-6-4,11,4,TA-6-T4-M11-Q4,2024-01-10,"A,J",22:06,N/A,100,95,5,2,"GAM, GAC",0,1,1,0,0,0,0,0,0,0,0,0,1,BA,0,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,,0,0,
6,TA-6-4,19,3,TA-6-T4-M19-Q3,2024-01-10,"A,J",22:11,N/A,100,90,10,3,"GAC, RAI, GAM",0,1,1,0,0,0,0,0,1,0,0,0,1,Barnacle,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,1,1,
6,TA-6-4,21,3,TA-6-T4-M21-Q3,2024-01-10,"A,J",22:32,N/A,30,10,90,1,GAM,0,0,1,0,0,0,0,0,0,0,0,0,1,Barnacle,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,,5,2,
6,TA-6-4,28,2,TA-6-T4-M28-Q2,2024-01-10,"A,J",22:35,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,,0,0,
6,TA-6-4,30,2,TA-6-T4-M30-Q2,2024-01-10,"A,J",N/A,N/A,2,0,2,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,2,"BA, BT",0,0,1,1,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,"2 thatched, 1 acorn barnacle above rocks",0,0,
6,TA-6-5,7,1,TA-6-T5-M7-Q1,2024-01-10,"A,J",22:44,N/A,95,100,0,1,GAM,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,,0,0,
6,TA-6-5,9,4,TA-6-T5-M9-Q4,2024-01-10,"A,J",22:46,N/A,95,100,0,1,GAM,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,,0,0,
6,TA-6-5,14,1,TA-6-T5-M14-Q1,2024-01-10,"A,J",22:51,N/A,90,100,0,1,GAM,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,,0,0,
6,TA-6-5,17,2,TA-6-T5-M17-Q2,2024-01-10,"A,J",22:52,N/A,98,100,0,2,"GAM, GAC",0,1,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,,0,0,
6,TA-6-5,24,1,TA-6-T5-M24-Q1,2024-01-10,"A,J",22:55,N/A,90,90,10,4,"GAC, GAM, RAP, RAS",0,1,1,1,0,0,0,0,0,0,0,1,1,BT,0,0,0,1,0,0,0,0,2,"LI, AA",1,0,0,1,0,0,0,N/A,0,0,0,0,0,0,0,0,1,Insect,0,0,0,0,0,1,4,,3,1,
6,TA-6-5,25,1,TA-6-T5-M25-Q1,2024-01-10,"A,J",N/A,N/A,90,80,20,4,"GAC, RAI, RAS, GAM",0,1,1,1,0,0,0,0,1,0,0,0,1,BT,0,0,0,1,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,,0,0,
6,TA-6-6,2,3,TA-6-T6-M2-Q3,2024-01-10,"A,J",23:10,N/A,98,100,0,2,"GAC, GAM",0,1,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,,0,0,
6,TA-6-6,3,2,TA-6-T6-M3-Q2,2024-01-10,"A,J",23:12,N/A,40,80,20,2,"GAC, RAF",0,1,0,0,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,"WM, EO",1,0,0,1,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
6,TA-6-6,10,1,TA-6-T6-M10-Q1,2024-01-10,"A,J",23:17,N/A,50,100,0,2,"GAM, GAC",0,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,,1,1,
6,TA-6-6,15,2,TA-6-T6-M15-Q2,2024-01-10,"A,J",23:20,N/A,100,100,0,2,"GAM, GAC",0,1,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,,0,0,
6,TA-6-6,19,4,TA-6-T6-M19-Q4,2024-01-10,"A,J",23:23,N/A,90,100,0,1,GAM,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,,0,0,
6,TA-6-6,26,1,TA-6-T6-M26-Q1,2024-01-10,"A,J",N/A,N/A,100,100,0,1,GAM,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,,0,0,
4,TA-4-2,1,1,TA-4-T2-M1-Q1,2024-02-07,"A,J",8:15,N/A,30,50,50,1,BAR,1,0,0,0,0,0,0,0,0,0,0,0,2,"BVM, BT ",1,0,0,1,0,0,0,0,0,N/A,0,0,0,0,0,0,3,"CRI, CRP, SL",0,1,0,0,0,1,1,0,0,N/A,0,0,0,0,0,0,5,,2,0,
4,TA-4-2,3,1,TA-4-T2-M3-Q1,2024-02-07,"A,J",8:22,N/A,20,70,30,3,"RATT, BAR, RAS",1,0,0,1,0,0,0,0,0,0,1,0,2,"BVM, BT",1,0,0,1,0,0,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,,7,6,
4,TA-4-2,9,4,TA-4-T2-M9-Q4,2024-02-07,"A,J",8:27,N/A,90,80,20,2,"BAR, RAS",1,0,0,1,0,0,0,0,0,0,0,0,1,BT,0,0,0,1,0,0,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
4,TA-4-2,18,2,TA-4-T2-M18-Q2,2024-02-07,"A,J",8:31,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,CRH,0,0,0,0,1,0,0,0,0,N/A,0,0,0,0,0,0,1,"Quadrat under water in tide pool, lots of crabs crawling around ",0,0,
4,TA-4-2,28,3,TA-4-T2-M28-Q3,2024-02-07,"A,J",8:35,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,All sand,0,0,
4,TA-4-2,29,4,TA-4-T2-M29-Q4,2024-02-07,"A,J",8:36,N/A,40,90,10,2,"BAR, RATT",1,0,0,0,0,0,0,0,0,0,1,0,3,"BT, BA, BVM",1,0,1,1,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,,0,0,
4,TA-4-4,2,4,TA-4-T4-M2-Q4,2024-02-07,"A,J",8:47,N/A,80,100,0,2,"GAC, GAM ",0,1,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,,0,0,
4,TA-4-4,5,2,TA-4-T4-M5-Q2,2024-02-07,"A,J",8:49,N/A,40,90,10,2,"GAC, GAM ",0,1,1,0,0,0,0,0,0,0,0,0,2,"BA, BVM",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,"Whole transect on rock bed, similarto TA-6 end of day",0,0,
4,TA-4-4,7,4,TA-4-T4-M7-Q4,2024-02-07,"A,J",8:51,N/A,90,80,20,2,"GAM, GAC",0,1,1,0,0,0,0,0,0,0,0,0,2,"BA, BVM",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,Birds of a feather flock together,0,0,
4,TA-4-4,16,2,TA-4-T4-M16-Q2,2024-02-07,"A,J",8:54,N/A,30,90,10,1,GAM,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,Stick looking insect water skater,0,0,
4,TA-4-4,17,3,TA-4-T4-M17-Q3,2024-02-07,"A,J",8:57,N/A,10,50,50,1,GAM,0,0,1,0,0,0,0,0,0,0,0,0,1,BA,0,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,Under water,0,0,
4,TA-4-4,20,4,TA-4-T4-M20-Q4,2024-02-07,"A,J",9:00,N/A,10,90,10,2,"GAM, GAC",0,1,1,0,0,0,0,0,0,0,0,0,1,BA,0,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,"Half under water, very shallow",0,0,
4,TA-4-5,6,2,TA-4-T5-M6-Q2,2024-02-07,"A,J",9:12,N/A,40,100,0,1,GAM,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,"More rock face, no water",0,0,
4,TA-4-5,7,1,TA-4-T5-M7-Q1,2024-02-07,"A,J",9:16,N/A,70,80,20,2,"BAR, GAM",1,0,1,0,0,0,0,0,0,0,0,0,1,BA,0,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,1,,0,0,
4,TA-4-5,11,4,TA-4-T5-M11-Q4,2024-02-07,"A,J",9:20,N/A,90,70,30,4,"BAR, RATT, GAC, GAU",1,1,0,0,1,0,0,0,0,0,1,0,3,"BA, BT, LI",0,0,1,1,0,1,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,,0,0,
4,TA-4-5,15,3,TA-4-T5-M15-Q3,2024-02-07,"A,J",9:22,N/A,90,70,30,3,"BAR, GAU, GAC",1,1,0,0,1,0,0,0,0,0,0,0,2,"BA, BVM",1,0,1,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,Spores? BAR has grazy dots,0,0,
4,TA-4-5,25,4,TA-4-T5-M25-Q4,2024-02-07,"A,J",9:26,N/A,70,90,10,2,"RAP, GAM",0,0,1,0,0,0,0,0,0,0,0,1,1,BVM,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,"SL, CRI",0,1,0,0,0,1,0,0,1,CRI,0,0,0,1,0,0,3,,1,1,
4,TA-4-5,29,3,TA-4-T5-M29-Q3,2024-02-07,"A,J",9:32,N/A,40,30,70,1,RAS,0,0,0,1,0,0,0,0,0,0,0,0,2,"LI, BA",0,0,1,0,0,1,0,0,0,N/A,0,0,0,0,0,0,1,SL ,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,3,On top of big rock,0,0,
4,TA-4-7,4,3,TA-4-T7-M4-Q3,2024-02-07,"A,J",9:41,N/A,70,30,70,1,GAM,0,0,1,0,0,0,0,0,0,0,0,0,4,"BVM, BT, BA, BCO",1,0,1,1,0,0,1,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,4,Within rocks,0,0,
4,TA-4-7,13,1,TA-4-T7-M13-Q1,2024-02-07,"A,J",9:46,N/A,70,20,80,2,"BAR, RATT",1,0,0,0,0,0,0,0,0,0,1,0,4,"LI, BVM, BA, BT",1,0,1,1,0,1,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,5,In rock field,0,0,
4,TA-4-7,17,4,TA-4-T7-M17-Q4,2024-02-07,"A,J",9:52,N/A,80,20,80,2,"BAR, RAS",1,0,0,1,0,0,0,0,0,0,0,0,3,"BT, BA, BVM",1,0,1,1,0,0,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,4,Rocks stuck to ground,0,0,
4,TA-4-7,23,7,TA-4-T7-M23-Q7,2024-02-07,"A,J",9:54,N/A,30,0,100,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,1,BA,0,0,1,0,0,0,0,0,1,BVM,0,1,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,1,CRI,0,0,0,1,0,0,4,,1,1,
4,TA-4-7,24,1,TA-4-T7-M24-Q1,2024-02-07,"A,J",9:57,N/A,10,0,100,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,1,BT,0,0,0,1,0,0,0,0,0,N/A,0,0,0,0,0,0,1,SL,0,1,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,2,,0,0,
4,TA-4-7,30,2,TA-4-T7-M30-Q2,2024-02-07,"A,J",10:00,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,All sand,2,2,
