Site_TA,Site_ transect,Date,Time,Surveyors,Start_Lat,Start_Long,End_Lat,End_Long,Length_m,Density_of_Sea_Stars_Count,Ochre,Leather,Molted,Garbage_Count,Salinity_ppt,Surface_Water_Temperature ,Comment
6,TA-6-1,2019-03-06,11:18:00,N/A,49.30048,-123.122809,49.300692,-123.12241,30,0,N/A,N/A,N/A,0,18.4,15.8,1 dead sea star 
6,TA-6-2,2019-03-06,11:19:00,N/A,49.30063,-123.12241,49.30044,-123.12259,30,0,N/A,N/A,N/A,0,18.4,15.8,
6,TA-6-6,2019-03-06,12:21:00,N/A,49.2992,-123.119581,49.29978,-123.119712,30,1,N/A,N/A,N/A,0,18.4,15.8,
6,TA-6-7,2019-03-06,12:15:00,N/A,49.30067,-123.118,49.30058,-123.11787,30,12,N/A,N/A,N/A,3,18.4,15.8,
4,TA-4-1,2019-04-06,12:16:00,N/A,49.312126,-123.152843,43.311952,-123.152585,30,8,N/A,N/A,N/A,0,13.8,18.5,1 dead sea star 
4,TA-4-2,2019-04-06,12:15:00,N/A,49.3124,-123.1522,49.31226,-123.15185,30,26,1,0,0,0,13.8,18.5,Pisaster sea star; red and purple sea stars
4,TA-4-3,2019-04-06,12:54:00,N/A,49.312847,-123.150796,49.31246,-123.15026,30,0,N/A,N/A,N/A,0,13.8,18.5,
4,TA-4-8,2019-04-06,13:26:00,N/A,49.31369,-123.14565,49.31337,-123.14553,30,0,N/A,N/A,N/A,1,13.8,18.5,
3,TA-3-2,2019-05-16,10:02:00,N/A,49.30777,-123.1563,49.30782,-123.15607,30,0,N/A,N/A,N/A,0,17.11,15.3,Do salinity and temperature once per site. 
3,TA-3-4,2019-05-16,11:35:00,N/A,49.3086,-123.15528,49.30883,-123.15542,27.5,0,N/A,N/A,N/A,0,17.11,15.3,27.5m long transect.
3,TA-3-5,2019-05-21,13:15:00,N/A,49.30898,-123.15514,49.30978,-123.15491,30,0,N/A,N/A,N/A,1,14.66,15.4,"Sunny for first half, may have caused mobile invertebrates to hide."
3,TA-3-7,2019-05-21,14:42:00,N/A,49.30911,-123.15483,49.30897,-123.15456,30,0,N/A,N/A,N/A,0,14.66,15.4,
5,TA-5-7,2019-05-22,14:33:00,N/A,49.30907,-123.13582,49.30894,-123.13615,30,4,N/A,N/A,N/A,0,22.65,13.3,
5,TA-5-1,2019-05-22,13:15:00,N/A,N/A,N/A,N/A,N/A,26.3,0,N/A,N/A,N/A,2,22.65,13.3,
5,TA-5-2,2019-05-22,14:32:00,N/A,N/A,N/A,N/A,N/A,22.2,3,1,1,0,11,22.65,13.3,"Leather sea star, pisaster sea star"
5,TA-5-4,2019-05-22,13:14:00,N/A,49.31153,-123.1378,49.31135,-123.13816,30,0,N/A,N/A,N/A,0,22.65,13.3,
1,TA-1-1,2019-05-30,09:12:00,N/A,49.292936,-123.151006,49.293002,-123.15644,30,0,N/A,N/A,N/A,0,12.42,18,
1,TA-1-2,2019-05-30,09:17:00,N/A,49.29273,-123.15079,49.29283,-123.15039,30,0,N/A,N/A,N/A,0,12.42,18,
1,TA-1-6,2019-05-30,11:04:00,N/A,49.292271,-123.150149,49.292426,-123.149811,30,0,N/A,N/A,N/A,0,12.42,18,
1,TA-1-8,2019-05-30,10:15:00,N/A,49.29189,-123.14976,49.29199,-123.14935,30,0,N/A,N/A,N/A,2,12.42,18,
2,TA-2-3,2019-05-31,N/A,N/A,49.301705,-123.158465,49.301535,-123.158351,30,0,N/A,N/A,N/A,0,9.04,19,"Very slippery site; seems like perfect habitat for sea stars-- big rocks with lots of crevices (but only saw 1, not on transect)"
2,TA-2-5,2019-05-31,N/A,N/A,49.30145,-123.15914,49.3033,-123.15881,30,0,N/A,N/A,N/A,0,9.04,19,
2,TA-2-7,2019-05-31,09:30:00,N/A,49.300965,-123.159316,49.306919,-123.1597,30,0,N/A,N/A,N/A,0,9.04,19,
2,TA-2-8,2019-05-31,09:05:00,N/A,49.30073,-123.15969,N/A,N/A,30,0,N/A,N/A,N/A,0,9.04,19,
1,TA-1-1,2020-05-26,13:55:00,"Ariane Comeau, Kendall McLaughlin",49.29301,-123.15144,49.2930936,-123.1510396,30,0,N/A,N/A,N/A,0,10.02,17.4,
1,TA-1-3,2020-05-26,13:55:00,"Ariane Comeau, Kendall McLaughlin",49.29259,-123.1504847,49.29253,-123.15085,30,0,N/A,N/A,N/A,1,10.02,17.4,
1,TA-1-5,2020-05-26,14:34:00,"Meghan Cooling, Rory",49.29233,123.15061,49.29245,-123.15022,30,0,N/A,N/A,N/A,1,10.02,17.4,
1,TA-1-6,2020-05-26,12:59:00,"Meghan Cooling, Rory",49.29239,-123.14987,49.29222,-123.15023,30,0,N/A,N/A,N/A,1,10.02,17.4,
2,TA-2-3,2020-05-27,13:40:00,"Ariane Comeau, Justine Kaseman",49.301715,-123.158435,49.3015667,-123.1583134,30,0,N/A,N/A,N/A,0,10.24,19.6,
2,TA-2-4,2020-05-27,15:45:00,"Ariane Comeau, Justine Kaseman",49.30167,-123.15881,45.30148,-123.1586,30,0,N/A,N/A,N/A,0,10.24,19.6,
2,TA-2-5,2020-05-27,14:14:00,"Rory, Kendall McLaughlin",49.30149,-123.15913,49.30149,-123.15913,30,0,N/A,N/A,N/A,1,10.24,19.6,
2,TA-2-7,2020-05-27,15:02:00,"Rory, Kendall McLaughlin",49.30092,-123.15955,49.30105,-123.15992,30,2,1,0,0,3,10.24,19.6,Ochre star
6,TA-6-1,2020-06-03,09:49:00,"Kendall McLaughlin, Candy",49.3006432,-123.1226558,49.3005092,-123.1227409,15,1,N/A,N/A,N/A,7,18.17,13.5,"When finished the transect, tide went lower by 12m"
6,TA-6-3,2020-06-03,10:59:00,"Kendall McLaughlin, Candy",49.3005337,-123.1223537,49.3003053,-123.1224643,19,0,N/A,N/A,N/A,0,18.17,13.5,
6,TA-6-5,2020-06-03,08:40:00,"Meghan Cooling, Justine Kaseman",49.29995,-123.11985,49.29977,-123.1199,22,0,N/A,N/A,N/A,0,18.17,13.5,"tide was out, only went to 22m"
6,TA-6-6,2020-06-03,09:32:00,"Meghan Cooling, Justine Kaseman",49.29992,-123.11942,49.29971,-123.11946,30,2,N/A,N/A,N/A,0,18.17,13.5,
4,TA-4-1,2020-06-04,09:32:00,"Ariane Comeau, Kendall McLaughlin",49.31193,-123.15234,49.311841,-123.152013,30,3,1,0,0,0,10.53,14.4,ochre star (3)
4,TA-4-2,2020-06-04,10:10:00,"Ariane Comeau, Kendall McLaughlin",49.31193,-123.15267,49.312026,-123.151995,30,73,1,0,1,0,10.53,14.4,"ochre star (56), mottle star (17), sea anemone (15), jellyfish (egg-yolk or lion's mane?) (2)"
5,TA-5-1,2020-06-09,12:54:00,Meghan Cooling,49.31324,-123.1396,49.31306,-123.13979,24,0,N/A,N/A,N/A,1,20.23,12.6,
5,TA-5-2,2020-06-09,14:10:00,Meghan Cooling,49.31281,-123.13917,49.31269,-123.13937,18,2,1,0,0,0,20.23,12.6,ochre stars
5,TA-5-3,2020-06-09,14:21:00,"Kendall McLaughlin, Olivia",49.312019,-123.1384798,49.3119799,-123.1389026,30,16,1,0,1,0,20.23,12.6,"mottle stars (12), ochre stars (4)"
5,TA-5-8,2020-06-09,14:50:00,"Kendall McLaughlin, Olivia",49.3079895,-123.1347807,49.3079108,-123.1351629,30,3,1,1,1,0,20.23,12.6,"ochre star (1), mottle star (1), sea anemone, leather star (1)"
3,TA-3-2,2020-06-10,13:40:00,"Meghan Cooling, Justine Kaseman",49.30794,-123.15629,49.30792,-123.156,18,0,N/A,N/A,N/A,0,N/A,N/A,
3,TA-3-4,2020-06-10,14:49:00,"Meghan Cooling, Justine Kaseman",49.30888,-123.15543,49.30864,-123.15535,30,0,N/A,N/A,N/A,0,N/A,N/A,
3,TA-3-5,2020-06-10,15:07:00,"Kendall McLaughlin, Candy",49.3086692,-123.1548617,49.3089833,-123.1552352,30,0,N/A,N/A,N/A,0,N/A,N/A,
3,TA-3-7,2020-06-10,15:18:00,"Kendall McLaughlin, Candy",49.3089686,-123.1544996,49.3090904,-123.1547826,30,1,1,N/A,N/A,0,N/A,N/A,ochre star
4,TA-4-3,2020-06-18,08:50:00,"Meghan Cooling, Kendall McLaughlin, Julia",49.31279,-123.15051,49.31253,-123.15032,30,0,N/A,N/A,N/A,0,7.95,16.8,
4,TA-4-8,2020-06-18,10:00:00,"Meghan Cooling, Kendall McLaughlin, Julia",49.313598,-123.1456517,49.3134323,-123.1455977,30,2,1,0,1,3,7.95,16.8,"ochre star (1), mottle star (1)"
4,TA-4-1,2021-05-25,10:48:00,"Ariane C, Olga L",49.312113,-123.152494,49.3113205,-123.1520562,30,7,1,0,0,1,13.66,15.3,"sea anemone, pisaster"
4,TA-4-4,2021-05-25,22:48:00,"Ariane C., olga L.",49.3128721,-123.1495966,49.3126715,-123.1494708,23,0,N/A,N/A,N/A,0,13.66,15.3,
4,TA-4-7,2021-05-25,10:45:00,"Marine, Jack",49.3131875,-123.1466854,49.18484,-123.08486,30,2,1,0,1,0,N/A,N/A,"1 purple star, 1 leather star"
1,TA-1-5,2021-05-27,13:05:00,"SS, OL, JJ",49.2923571,123.1502007,49.2922683,-123.1506433,30,0,N/A,N/A,N/A,1,N/A,N/A,
1,TA-1-6,2021-05-27,N/A,"SS, OL, JJ",49.2921345,-123.1503201,N/A,N/A,30,0,N/A,N/A,N/A,0,12.76,14.2,
1,TA-1-3,2021-05-27,11:35:00,"OL, SS, JG",49.292468,-123.150771,49.2926906,-123.1499821,30,0,N/A,N/A,N/A,8,12.76,14.2,
3,TA-3-3,2021-06-04,08:30:00,"Marine, Julie",49.308768,-123.1554424,49.3085937,-123.1555742,20,0,N/A,N/A,N/A,3,N/A,N/A,
3,TA-3-5,2021-06-04,10:00:00,"Marine, Julie",49.3088161,-123.154856,49.3088069,-123.1546837,12,0,N/A,N/A,N/A,,N/A,N/A,
3,TA-3-6,2021-06-04,08:24:00,"Alyana, L, Olga",49.3093927,-123.1548168,49.3088388,-123.1546743,12,0,N/A,N/A,N/A,2,10.87,15.8,
3,TA-3-7,2021-06-04,09:48:00,"Alyana, L, Olga",49.3090559,-123.154614,49.3090032,-123.154556,7,0,N/A,N/A,N/A,1,N/A,N/A,
2,TA-2-1,2021-08-06,10:45:00,"Alyana, Marine",49.3019775,-123.1580043,49.30180043,-123.157675,30,0,N/A,N/A,N/A,0,N/A,N/A,
2,TA-2-2,2021-08-06,12:14:00,"Alyana, Marine",49.3017602,-123.1581729,49.301631,-123.158012,22,0,N/A,N/A,N/A,13,N/A,N/A,
2,TA2-4,2021-08-06,10:53:00,"CK, OL",49.3016428,-123.1587486,49.3014351,-123.1585307,30,0,N/A,N/A,N/A,0,7.57,15.6,
2,TA-2-7,2021-08-06,12:13:00,"CK, OL",49.3010125,-123.1547782,49.3009917,-123.1593833,30,0,N/A,N/A,N/A,0,N/A,N/A,
5,TA-5-2,2021-06-10,11:45:00,"Joe, Mac",49.3129104,-123.1394779,49.3130085,-123.1392791,20,0,N/A,N/A,N/A,0,18.4,12.4,
5,TA-5-1,2021-06-10,11:39:00,Julie,49.3133176,-123.1397787,49.3132511,-123.1399074,23,0,N/A,N/A,N/A,1,N/A,N/A,
5,TA-5-4,2021-06-10,13:46:00,"Mac, Joe, Julie",49.3114828,-123.1377764,49.3133176,-123.1397787,23,0,N/A,N/A,N/A,2,N/A,N/A,"transect was at least 23 meters long, field left blank"
6,TA-6-8,2021-06-15,14:47:00,"Marine, Denise",49.3007571,-123.1164394,49.3006096,-123.1166326,20,1,N/A,N/A,N/A,8,N/A,N/A,
6,TA-6-2,2021-06-15,14:35:00,"Julie, Dan",49.3006258,-123.1226031,49.3004933,-123.1226876,17,0,N/A,N/A,N/A,0,15.11,14.8,
6,TA-6-6,2021-06-15,16:56:00,"Denise, Julie, Marine, Dan",49.2993806,-123.1195766,49.2997471,-123.1196299,29,0,N/A,N/A,N/A,1,N/A,N/A,
6,TA-6-5,2021-06-15,15:51:00,"Julie, Dan",49.3000298,-123.1198247,49.2997897,-123.1199427,30,0,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-8,2021-06-16,16:52:00,"Olga, Tash",49.2919235,-123.1497283,49.292025,-123.1494229,30,0,N/A,N/A,N/A,1,7.43,20,garbage = glove
4,TA-4-3,2021-06-16,15:52:00,"Alyana, Hannah",49.3128374,-123.1505018,49.3126098,-123.1503389,30,0,N/A,N/A,N/A,0,7.72,18.5,
5,TA-5-6,2021-06-16,17:40:00,"Alyana, Hannah",49.3094694,-123.1363374,49.3094108,-123.1364598,14,0,N/A,N/A,N/A,0,N/A,N/A,
1,TA-1-2,2022-05-31,12:10:00,"Marie, Phyllis, Clare",49.29266,-123.14111,49.29276,-123.15073,30,0,N/A,N/A,N/A,0,N/A,16,
1,TA-1-3,2022-05-31,13:30:00,"Marie, Jess, Clare",49.29243,-123.1507,49.29256,-123.15032,30,0,N/A,N/A,N/A,0,N/A,16,
1,TA-1-6,2022-05-31,12:06:00,"Alyana, Linda",49.2923512,-123.1499406,49.2921616,-123.1503308,30,1,N/A,N/A,N/A,0,N/A,16,
1,TA-1-7,2022-05-31,13:28:00,"Alyana, Linda",49.2922106,-123.1497826,49.2920812,-123.1501146,30,0,N/A,N/A,N/A,0,N/A,16,
2,TA-2-1,2022-06-01,12:52:00,"Olivia, Julie, Marie",49.30898,-123.13601,49.3019603,-123.1579523,27,0,N/A,N/A,N/A,2,N/A,N/A,
2,TA-2-2,2022-06-01,14:12:00,"Olivia, Julie, Marie",49.3016249,-123.1580338,49.30168,-123.15808,17,0,N/A,N/A,N/A,2,N/A,N/A,
2,TA-2-5,2022-06-01,13:00:00,"Alyana, Phyllis",49.3013245,-123.1589032,49.3014167,-123.1592844,30,1,1,0,0,1,N/A,N/A,Purple Ochre sea star
2,TA-2-7,2022-06-01,14:27:00,"Alyana, Phyllis",49.3009666,-123.1595499,49.3009137,-123.1599905,30,0,N/A,N/A,N/A,1,N/A,N/A,Purple Ochre sea stars observed within 3 m of transect area
3,TA-3-1,2022-06-02,13:30:00,"Denise, Olivia, Marisa ",49.3076916,-123.155994,49.3076977,-123.1562672,29,0,N/A,N/A,N/A,0,N/A,17,
3,TA-3-3,2022-06-02,14:52:00,"Denise, Olivia, Marisa",49.3085808,-123.1555725,49.30886,-123.1555011,26,0,N/A,N/A,N/A,0,N/A,17,
3,TA-3-6,2022-06-02,09:40:00,"Dacyn, Marisa",49.3087673,-123.1547524,49.308974,-123.154971,30,0,N/A,N/A,N/A,1,N/A,14.7,glass
3,TA-3-7,2022-06-02,10:30:00,"Dacyn, Marisa",49.3089155,-123.1545161,49.309069,-123.1547695,23,0,N/A,N/A,N/A,0,N/A,14.7,
4,TA-4-2,2022-05-20,15:42:00,"Jess, Jaime, Dacyn, Marisa",49.31196,-123.15184,49.312176,-123.15205,30,0,N/A,N/A,N/A,0,N/A,N/A,
4,TA-4-3,2022-05-20,16:52:00,"Jess, Jaime, Dacyn, Marisa",49.31245,-123.15024,49.3127,-123.15039,30,0,N/A,N/A,N/A,0,N/A,N/A,
4,TA-4-5,2022-05-20,17:30:00,"Marine, Fabi, Claudia",49.3130199,-123.1485005,49.312873,-123.1483973,20,0,N/A,N/A,N/A,0,N/A,N/A,
4,TA-4-7,2022-05-20,15:35:00,"Claudia, Tulika, Marine, Fabi",49.3133176,-123.1465764,49.3133423,-123.1466233,30,6,N/A,N/A,N/A,1,N/A,N/A,
5,TA-5-1,2022-05-19,13:58:00,"Julie, Fiona, Jess",49.313251,-123.13988,49.31332,-123.1397,22,3,1,0,0,0,N/A,N/A,Purple Ochre sea stars
5,TA-5-3,2022-05-19,14:57:00,"Julie, Fiona, Jess",49.31194,-123.1389,49.31208,-123.13853,30,0,N/A,N/A,N/A,0,N/A,N/A,
5,TA-5-5,2022-05-19,13:50:00,"Victor, Denise, Marisa",49.29995,-123.13526,49.31073,-123.13702,30,2,0,1,0,11,N/A,N/A,"2 Leather sea stars, 10 pieces of glass and one screw"
5,TA-5-7,2022-05-19,15:20:00,"Victor, Denise, Marisa",49.30896,-123.73675,49.30904,-123.73589,22,0,N/A,N/A,N/A,0,N/A,N/A,
6,TA-6-1,2022-05-17,12:30:00,"Clare, Morris, Alyana",49.2978,-123.13224,49.30083,-123.12265,23,34,1,1,0,8,N/A,N/A,"7 Leather stars, 27 Ochre sea stars"
6,TA-6-4,2022-05-17,12:45:00,"Anna-Lena, Marie, Thorben",49.2997,-123.12045,49.29987,-123.1204,14,0,N/A,N/A,N/A,0,N/A,N/A,
6,TA-6-5,2022-05-17,13:45:00,"Anna-Lena, Marie, Thorben",49.29967,-123.12003,49.29985,-123.11992,14,0,N/A,N/A,N/A,0,N/A,N/A,
6,TA-6-8,2022-05-17,14:36:00,"Clare, Morris, Alyana",49.30071,-123.11668,49.30085,-123.11643,26,52,1,0,0,35,N/A,N/A,"Ochre sea stars (sea star wasting disease observed in some ochre stars), glass"
6,TA-6-3,2023-05-24,13:45:00,"Fiona, Juan, Katarina",49.30059,-123.12233,49.30039,-123.12258,21,0,N/A,N/A,N/A,1,N/A,N/A,
6,TA-6-5,2023-05-24,13:57:00,"Roxanne, Risa",49.29999,-123.11985,49.29972,-123.11994,29.9,1,1,0,0,3,N/A,N/A,"several purple sea stars just beyond transect in water, pisaster orchaeus"
6,TA-6-7,2023-05-24,15:57:00,"Fiona, Juan, Katarina",49.30066,-123.1179,49.30062,-123.11782,9.5,0,N/A,N/A,N/A,0,N/A,N/A,
6,TA-6-8,2023-05-24,15:07:00,"Risa, Roxanne",49.29999,-123.11985,49.29999,-123.11985,21.1,5,1,0,0,4,N/A,N/A,all pisaster
5,TA-5-3,2023-06-01,09:50:00,"CS, Roxanne, Dasha",49.31192,-123.1384,49.31178,-123.13877,30,0,N/A,N/A,N/A,0,N/A,N/A,
5,TA-5-5,2023-06-01,10:59:00,"CS, Roxanne, Dasha",49.3107,-123.13714,49.3106,-123.13746,24,1,0,1,0,0,N/A,N/A,"sea star was 3m from measuring tape, leather star"
5,TA-5-7,2023-06-01,09:56:00,"Maline, Marine, Masha, Rodrigo",49.30908,-123.1358,49.30891,-123.13617,30,1,1,0,0,0,N/A,N/A,orche sea star
5,TA-5-8,2023-06-01,11:25:00,"Maline, Marine, Masha, Rodrigo",49.308,-123.13502,49.30788,-123.13538,30,0,N/A,N/A,N/A,0,N/A,N/A,
4,TA-4-2,2023-06-02,11:01:00,"Alyana, Stephanie",49.31222,-123.15218,49.31203,-123.15192,30,5,1,0,0,0,N/A,N/A,pisaster ochraceus
4,TA-4-3,2023-06-02,10:58:00,"Risa, Marisa",49.51254,-123.15041,49.31238,-123.15023,20.3,0,N/A,N/A,N/A,0,N/A,N/A,
4,TA-4-4,2023-06-02,12:17:00,"Alyana, Stephanie",49.31284,-123.14957,49.31271,-123.14957,15,0,N/A,N/A,N/A,0,N/A,N/A,
4,TA-4-5,2023-06-02,11:52:00,"Risa, Marisa",49.31301,-123.14845,49.31382,-123.1484,22.42,0,N/A,N/A,N/A,0,N/A,N/A,
3,TA-3-2,2023-06-06,14:51:00,"Maline, Roxanne, Denise",49.30784,-123.15636,49.30776,-123.15604,30,0,N/A,N/A,N/A,1,N/A,N/A,
3,TA-3-4,2023-06-06,13:30:00,"Maline, Roxanne, Denise",49.30875,-123.15543,49.30847,-123.15527,30,0,N/A,N/A,N/A,2,N/A,N/A,"3 purple sea stars closer to the water, past 30m transect. Would be within 1m of transect if it was longer"
3,TA-3-5,2023-06-06,13:35:00,"Marina, Dacyn, Marisa",49.30901,-123.1552,49.30863,-123.15489,30,0,N/A,N/A,N/A,0,N/A,N/A,
3,TA-3-6,2023-06-06,14:25:00,"Marina, Dacyn, Marisa",49.30909,-123.155,49.3089,-123.15466,30,0,N/A,N/A,N/A,2,N/A,N/A,
2,TA-2-2,2023-06-07,14:50:00,"Jenna x2, Kelsey, Miles etc.",49.3017766,-123.1581682,N/A,N/A,24.77,0,N/A,N/A,N/A,1,N/A,N/A,
2,TA-2-3,2023-06-07,15:19:00,"Fiona, Maline, Dacyn",49.3015711,-123.1584804,49.3014887,-123.1582792,15,0,N/A,N/A,N/A,0,N/A,N/A,
2,TA-2-5,2023-06-07,14:21:00,"Fiona, Maline, Dacyn",49.301403,-123.1592814,49.3013647,-123.1588787,30,0,N/A,N/A,N/A,0,N/A,N/A,
2,TA-2-8,2023-06-07,13:55:00,"Jenna x2, Kelsey, Miles etc.",49.3007749,-123.1599717,49.3008286,-123.1595449,30,2,N/A,N/A,N/A,0,N/A,N/A,
1,TA-1-2,2023-06-30,09:22:00,"Maline, Marisa, Sophia",49.2928541,-123.1513162,49.2928876,-123.1509141,30,0,N/A,N/A,N/A,0,N/A,N/A,
1,TA-1-3,2023-06-30,10:20:00,"Maline, Marisa, Sophia",49.2925065,-123.1507278,49.292634,-123.1503486,30,0,N/A,N/A,N/A,0,N/A,N/A,
1,TA-1-4,2023-06-30,10:16:00,"Dacyn, Amelia, Claudia",49.2924446,-123.1502936,49.2923689,-123.1500068,30,0,N/A,N/A,N/A,2,N/A,N/A,
1,TA-1-7,2023-06-30,09:10:00,"Dacyn, Amelia, Claudia",49.2920366,-123.1499989,49.2922043,-123.1497039,30,0,N/A,N/A,N/A,0,N/A,N/A,