Site_TA,Site_transect,Date,Time,Individuals_measured,Mean_Length_mm,Median_Length_mm,Mean_Width_mm,Median_Width_mm,Length_1,Width_1,Length_2,Width_2,Length_3,Width_3,Length_4,Width_4,Length_5,Width_5,Length_6,Width_6,Length_7,Width_7,Length_8,Width_8,Length_9,Width_9,Length_10,Width_10,Max_Length,Min_Length,Comments
1,TA-1-1,12/26/2023,N/A,10,5.4,5,4.9,5,7,5,4,5,2,4,4,4,8,8,8,5,4,5,5,3,8,5,4,5,8,3,One one mussel
1,TA-1-2,12/26/2023,N/A,10,10.9,11,8.5,8,13,10,10,7,12,9,12,10,11,9,9,6,8,6,9,7,8,5,17,16,17,5,One was keyhole
1,TA-1-3,12/26/2023,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,
1,TA-1-5,12/26/2023,N/A,10,16.4,17,12.7,13,17,13,17,13,18,13,20,16,15,10,16,13,17,14,15,11,12,11,17,13,20,10,
6,TA-6-7,01/10/2024,N/A,10,18.3,16,14.5,12.5,19,15,15,12,18,14,15,12,9,7,16,12,30,24,30,25,15,11,16,13,30,7,Biggest limpet observed
6,TA-6-6,01/10/2024,N/A,10,25.9,25,19.8,19,24,19,21,15,24,18,27,19,25,21,34,25,31,25,29,22,23,18,21,16,34,15,
6,TA-6-5,01/10/2024,N/A,10,23.1,23,17.3,17,15,12,23,18,23,17,27,20,20,14,29,22,28,20,22,17,22,16,22,17,29,12,
6,TA-6-4,01/10/2024,N/A,10,21.9,23,14.8,13.5,24,19,19,14,24,12,21,11,21,10,17,13,24,19,21,13,24,17,24,20,24,10,
4,TA-4-2,02-07-2024,8:13,10,27.2,26,21.7,20.5,23,18,30,24,29,25,26,20,26,20,36,26,22,19,26,21,24,20,30,24,36,18,
4,TA-4-3,02-07-2024,8:47,10,26.2,27,21,20.5,31,29,27,20,30,23,28,24,27,20,23,18,20,15,20,18,31,22,25,21,31,15,
4,TA-4-5,02-07-2024,9:12,10,20.7,20,16.4,16,20,16,19,15,20,16,21,16,20,17,25,20,21,17,22,16,19,16,20,15,25,15,
4,TA-4-7,02-07-2024,9:40,10,23.0,24,18,18,26,19,18,15,24,18,20,16,25,19,25,24,24,18,23,18,19,14,26,19,26,14,
4,TA-4-4,02-08-2024,9:25,10,25.6,25,20,20,28,21,30,23,31,23,23,19,22,18,22,17,27,21,22,16,29,24,22,18,31,16,
4,TA-4-8,02-08-2024,9:54,10,24.7,25,19.8,20,32,25,22,20,27,20,26,22,23,19,20,16,27,22,25,19,21,15,24,20,32,15,
4,TA-4-1,02-08-2024,8:20,10,23.4,25,18.9,20,27,23,25,20,25,21,26,20,24,19,24,18,16,13,13,10,25,22,29,23,29,10,
4,TA-4-2,02-08-2024,8:51,10,19.5,20,15.9,16.5,20,17,24,20,23,18,23,19,22,18,20,16,12,9,20,16,18,16,13,10,24,9,
1,TA-1-2,02-08-2024,10:57,10,18.4,20,14.7,15.5,19,13,20,16,14,11,21,16,20,15,23,19,10,8,15,12,22,20,20,17,23,8,
1,TA-1-4,02-08-2024,11:18,10,18.9,19,15.2,15,21,17,23,20,18,14,18,15,19,15,18,14,22,16,20,16,16,14,14,11,23,11,
1,TA-1-8,02-07-2024,10:49,10,18.5,19,14.5,14.5,20,14,23,18,12,10,18,13,15,12,18,15,20,16,22,18,23,19,14,10,23,10,
1,TA-1-7,02-07-2024,11:10,10,15.8,15,12.8,13,24,20,11,9,18,15,15,13,12,8,15,13,10,7,18,14,15,13,20,16,24,7,
6,TA-6-5,02-09-2024,9:28,10,22.9,24,18.2,18.5,27,21,25,19,19,14,25,20,24,20,23,18,20,16,20,17,24,20,22,17,27,14,
6,TA-6-4,02-09-2024,9:53,10,29.9,30,24.7,24,34,24,28,22,27,22,34,29,33,29,29,24,30,24,34,27,26,23,24,23,34,22,
6,TA-6-3,02-09-2024,10:15,2,30.5,31,24.5,24.5,34,27,27,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34,22,
6,TA-6-7,02-09-2024,10:48,10,20.1,21,15.7,16,20,17,21,15,20,15,21,17,17,13,19,14,22,17,22,17,17,15,22,17,22,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,